Accion,Cotizacion
BEEMW,0.7400000095367432
FRES,0.7465999722480774
TOMZ,0.7490000128746033
AEI,0.75
LIFW,0.753000020980835
ALVR,0.753000020980835
ONMD,0.7570000290870667
ELAB,0.7599999904632568
MCRB,0.7688000202178955
RCAT,0.7699999809265137
LIPO,0.7699999809265137
CMMB,0.7700999975204468
BNR,0.7770000100135803
CDTX,0.7770000100135803
VRAX,0.7799999713897705
MHUA,0.7799999713897705
BFRGW,0.7800999879837036
GRI,0.7829999923706055
GRRR,0.78329998254776
GLTO,0.7839000225067139
CTXR,0.7882000207901001
VFSWW,0.7900000214576721
XELB,0.7919999957084656
EVGN,0.7929999828338623
DBVT,0.7961999773979187
ICU,0.7982000112533569
ENSC,0.7990000247955322
AISPW,0.8012999892234802
BJDX,0.8029999732971191
THMO,0.8090000152587891
INHD,0.8101000189781189
ZVSA,0.8159999847412109
IVDA,0.8167999982833862
CLOV,0.8212000131607056
NVVE,0.8230000138282776
PEV,0.8292999863624573
BBGI,0.8299999833106995
LGHL,0.83160001039505
QNRX,0.8399999737739563
LITM,0.8399999737739563
SGD,0.8435999751091003
MESA,0.8586999773979187
JTAI,0.8593999743461609
FAMI,0.8600000143051147
AMRN,0.8600000143051147
MMV,0.8650000095367432
ONTX,0.867900013923645
INKT,0.8700000047683716
SPPL,0.8769999742507935
IDAI,0.8774999976158142
IMNN,0.8799999952316284
SURGW,0.8799999952316284
FOSL,0.8822000026702881
CARA,0.8830000162124634
NMHI,0.8848999738693237
CNET,0.8899000287055969
CTSO,0.8899000287055969
VIVK,0.8899999856948853
GROM,0.8899999856948853
BMRA,0.8899999856948853
SMFL,0.8920999765396118
ORGS,0.8989999890327454
STIX,0.8999999761581421
GMM,0.8999999761581421
CURI,0.8999999761581421
NUKK,0.8999999761581421
UHGWW,0.8999999761581421
USGOW,0.9002000093460083
ATXG,0.9039999842643738
OESX,0.9100000262260437
EPOW,0.9100000262260437
SEATW,0.9118000268936157
NKTR,0.9135000109672546
LILM,0.9187999963760376
NAOV,0.9199000000953674
STRR,0.9200000166893005
EEIQ,0.9200000166893005
RTC,0.9200000166893005
WIMI,0.9240000247955322
PLBY,0.9251999855041504
FIXX,0.9276000261306763
HYFM,0.9290000200271606
NDRA,0.9300000071525574
SHCR,0.9305999875068665
AGAE,0.9380000233650208
IDEX,0.9381999969482422
AVPTW,0.9398999810218811
SHFS,0.946399986743927
PLUR,0.9498999714851379
CETY,0.9539999961853027
EDTK,0.954200029373169
HTCR,0.9542999863624573
BNOX,0.9599999785423279
ROMA,0.960099995136261
OPK,0.9646000266075134
OMH,0.9652000069618225
VIRX,0.9700000286102295
RPID,0.9700000286102295
ONDS,0.9711999893188477
KZR,0.9745000004768372
NEOV,0.9794999957084656
SLGL,0.9800000190734863
CLIR,0.9858999848365784
RNLX,0.9865999817848206
PIII,0.9886999726295471
ALGS,0.9900000095367432
AXDX,0.9900000095367432
JYD,0.9901000261306763
CMRX,0.9998000264167786
EOSE,0.9998999834060669
SPEC,1.0
AIHS,1.0
ONCY,1.0
EAST,1.0083999633789062
FTFT,1.0097999572753906
HYPR,1.0099999904632568
HUBC,1.0099999904632568
OTLY,1.0099999904632568
QTI,1.0099999904632568
LPSN,1.0149999856948853
ECDA,1.0199999809265137
ONVO,1.0199999809265137
SGRP,1.0199999809265137
RSVRW,1.0199999809265137
LICN,1.0199999809265137
VFF,1.0299999713897705
SCKT,1.0299999713897705
NBSE,1.0299999713897705
SNAL,1.0299999713897705
MYNZ,1.0299999713897705
TNON,1.0299999713897705
TYGO,1.0299999713897705
USEG,1.0399999618530273
ASRT,1.0399999618530273
BNGO,1.0399999618530273
CBAT,1.0399999618530273
CNEY,1.0499999523162842
CLEU,1.0499999523162842
TLSIW,1.0499999523162842
SJ,1.0499999523162842
LGMK,1.0499999523162842
BDRX,1.0499999523162842
BCTXW,1.0500999689102173
HWH,1.059999942779541
MICS,1.059999942779541
YI,1.059999942779541
SY,1.059999942779541
ASNS,1.059999942779541
SLS,1.0700000524520874
DHAI,1.0700000524520874
CLPS,1.0700000524520874
QUBT,1.0700000524520874
ALZN,1.0700000524520874
ABVC,1.0700000524520874
PT,1.0750000476837158
MBIO,1.0800000429153442
REBN,1.0800000429153442
AACG,1.0800000429153442
PETV,1.0800000429153442
WNW,1.0800000429153442
DTCK,1.090000033378601
BANL,1.090000033378601
ATIF,1.090000033378601
GRDI,1.090000033378601
SCTL,1.090000033378601
LUCD,1.090000033378601
BHAT,1.097000002861023
OXBR,1.100000023841858
PBM,1.100000023841858
DTSTW,1.100000023841858
BLIN,1.100000023841858
CWD,1.100000023841858
BRFH,1.100000023841858
NEGG,1.100000023841858
TAOP,1.1200000047683716
ZFOX,1.1200000047683716
WAVE,1.1201000213623047
SAI,1.1299999952316284
VCIG,1.1299999952316284
INVO,1.1299999952316284
ENVB,1.1299999952316284
FCEL,1.1399999856948853
ANTE,1.1399999856948853
TLPH,1.1399999856948853
FTEK,1.1399999856948853
EYEN,1.1399999856948853
CREG,1.149999976158142
ESLA,1.149999976158142
MAPS,1.149999976158142
CCLD,1.149999976158142
ACRS,1.149999976158142
VIEW,1.159999966621399
QRTEA,1.159999966621399
CING,1.159999966621399
CNTX,1.1649999618530273
FRSX,1.1699999570846558
SNSE,1.1699999570846558
DRRX,1.1699999570846558
PETZ,1.1799999475479126
CISO,1.1799999475479126
NMTC,1.1799999475479126
VEEE,1.1799999475479126
CODX,1.1799999475479126
CMND,1.1799999475479126
ICCM,1.190000057220459
MBOT,1.190000057220459
QNCX,1.2000000476837158
AFRIW,1.2000000476837158
CHNR,1.2000000476837158
BFRI,1.2000000476837158
BIOR,1.2000000476837158
CNFR,1.2000000476837158
AHG,1.2000000476837158
BOLT,1.2000000476837158
VRAR,1.2000000476837158
JL,1.2100000381469727
QH,1.2100000381469727
NITO,1.2100000381469727
JXJT,1.2100000381469727
TURB,1.2100000381469727
THCH,1.2100000381469727
NAAS,1.2300000190734863
DRUG,1.2300000190734863
HLP,1.2300000190734863
MIRA,1.2300000190734863
MOB,1.2300000190734863
SCWO,1.2300000190734863
SVRE,1.2300000190734863
INAB,1.2400000095367432
AIRE,1.2400000095367432
GURE,1.2400000095367432
SNAX,1.25
APYX,1.25
ASTLW,1.25
FEAM,1.25
PXSAW,1.25
NEON,1.2599999904632568
VXRT,1.2599999904632568
REFR,1.2599999904632568
FPAY,1.2599999904632568
SNT,1.2699999809265137
SIFY,1.2699999809265137
THTX,1.2699999809265137
KRON,1.2699999809265137
ZTEK,1.2699999809265137
AVRO,1.2799999713897705
ICCT,1.2799999713897705
CNTB,1.2799999713897705
SKYX,1.2799999713897705
ACHL,1.2799999713897705
NCRA,1.2899999618530273
FRGT,1.2899999618530273
DZSI,1.2899999618530273
BTCS,1.2999999523162842
SQFT,1.2999999523162842
APWC,1.2999999523162842
AIMD,1.2999999523162842
GAN,1.309999942779541
COMM,1.3200000524520874
LQR,1.3200000524520874
IMUX,1.3200000524520874
INVZ,1.3200000524520874
CORZW,1.3300000429153442
BYU,1.3300000429153442
KLTR,1.3300000429153442
MDJH,1.340000033378601
VUZI,1.340000033378601
